Nom;Poste;Date;Vitesse_m.s-1
Piton-Bloc;97405420;11/10/2016;1.0
Piton-Bloc;97405420;12/10/2016;1.1
Piton-Bloc;97405420;13/10/2016;1.0
Piton-Bloc;97405420;14/10/2016;1.1
Piton-Bloc;97405420;15/10/2016;1.0
Piton-Bloc;97405420;16/10/2016;1.2
Piton-Bloc;97405420;17/10/2016;1.3
Piton-Bloc;97405420;18/10/2016;1.0
Piton-Bloc;97405420;19/10/2016;1.3
Piton-Bloc;97405420;20/10/2016;2.0
Piton-Bloc;97405420;21/10/2016;2.2
Piton-Bloc;97405420;22/10/2016;1.4
Piton-Bloc;97405420;23/10/2016;1.0
Piton-Bloc;97405420;24/10/2016;1.0
Piton-Bloc;97405420;25/10/2016;0.7
Piton-Bloc;97405420;26/10/2016;0.8
Piton-Bloc;97405420;27/10/2016;0.9
Piton-Bloc;97405420;28/10/2016;0.7
Piton-Bloc;97405420;29/10/2016;0.9
Piton-Bloc;97405420;30/10/2016;1.0
Piton-Bloc;97405420;31/10/2016;1.1
Piton-Bloc;97405420;01/11/2016;0.9
Piton-Bloc;97405420;02/11/2016;0.8
Piton-Bloc;97405420;03/11/2016;0.8
Piton-Bloc;97405420;04/11/2016;2.9
Piton-Bloc;97405420;05/11/2016;1.9
Piton-Bloc;97405420;06/11/2016;1.3
Piton-Bloc;97405420;07/11/2016;1.0
Piton-Bloc;97405420;08/11/2016;1.2
Piton-Bloc;97405420;09/11/2016;0.7
Piton-Bloc;97405420;10/11/2016;1.0
Piton-Bloc;97405420;11/11/2016;1.0
Piton-Bloc;97405420;12/11/2016;1.3
Piton-Bloc;97405420;13/11/2016;1.2
Piton-Bloc;97405420;14/11/2016;1.0
Piton-Bloc;97405420;15/11/2016;1.0
Piton-Bloc;97405420;16/11/2016;1.1
Piton-Bloc;97405420;17/11/2016;1.1
Piton-Bloc;97405420;18/11/2016;1.3
Piton-Bloc;97405420;19/11/2016;1.1
Piton-Bloc;97405420;20/11/2016;1.2
Piton-Bloc;97405420;21/11/2016;1.3
Piton-Bloc;97405420;22/11/2016;1.1
Piton-Bloc;97405420;23/11/2016;1.1
Piton-Bloc;97405420;24/11/2016;1.2
Piton-Bloc;97405420;25/11/2016;1.1
Piton-Bloc;97405420;26/11/2016;1.0
Piton-Bloc;97405420;27/11/2016;0.8
Piton-Bloc;97405420;28/11/2016;1.1
Piton-Bloc;97405420;29/11/2016;0.8
Piton-Bloc;97405420;30/11/2016;1.0
Piton-Bloc;97405420;01/12/2016;0.7
Piton-Bloc;97405420;02/12/2016;1.0
Piton-Bloc;97405420;03/12/2016;1.1
Piton-Bloc;97405420;04/12/2016;1.2
Piton-Bloc;97405420;05/12/2016;1.3
Piton-Bloc;97405420;06/12/2016;1.4
Piton-Bloc;97405420;07/12/2016;1.1
Piton-Bloc;97405420;08/12/2016;1.1
Piton-Bloc;97405420;09/12/2016;1.0
